name,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only
John & Melissa Besse Sports Park – Gladstone,,,,,,,,,,,,,,,,,2,,2,Yes
Hanson Hills,,,,,,,,,,,,,,1,,,2,,3,Yes
Hiawatha – Rock River Township,,,,,,,,,,,,,,,,,1,,1,Yes
The Homestead Resort,,,,,,,,,,2,,1,,,,,1,1,5,No
Marquette Mountain,,,,,,,,,,1,,2,,,,,1,,4,No
Missaukee Mountain,,,,,,,,,,,,,,,,,2,,2,Yes
Mont Ripley,,,,,,,,,,,,2,,1,,,1,,4,No
Mount Bohemia,,,,,,,,,,1,,1,,,,,,,2,No
Mount Brighton,,,,,,,,,2,3,,,,,,,5,2,12,No
Mount Holiday,,,,,,,,,,,,2,,,,,,,2,No
Mount Holly,,,,,,,,2,2,2,,1,,,,,4,2,13,No
Mount McSauba,,,,,,,,,,,,,,,,,4,,4,Yes
Mount Zion Hill,,,,,,,,,,,,1,,,,,3,,4,No
Mulligan’s Hollow Ski Bowl,,,,,,,,,,,,,,,,,5,,5,Yes
Norway Mountain,,,,,,,,,,1,,2,,,,,3,,6,No
Nub’s Nob Ski Area,,,,,,,,,3,4,,1,,,,,1,1,10,No
Otsego,,,,,,,,,1,1,,3,,,,,,,5,No
Pine Knob,,,,,,,,,,5,,,,,,,5,3,13,No
Pine Mountain,,,,,,,,,,1,,2,,,,,3,,6,No
Porcupine Mountain,,,,,,,,,,1,,,,,,,2,,3,No
Shanty Creek Resorts – Schuss Mountain,,,,,,,,,5,,,2,,,,,1,1,9,No
Ski Brule,,,,,,,,,,,,5,,2,,,5,,12,No
Snow Snake,,,,,,,,,,1,,,,,,,2,1,4,No
Snowriver: Black River Basin,,,,,,,,,,,,4,,,,,1,,5,No
Snowriver: Jackson Creek Summit,,,,,,1,,,,,,2,,1,,,1,1,6,No
Swiss Valley,,,,,,,,,2,1,,,,,,,2,,5,No
The Highlands at Harbor Springs,,,,,,1,,1,3,1,,,,,,,1,2,9,No
Timber Ridge,,,,,,,,,1,1,,2,,,,,4,1,9,No
Treetops,,,,,,,,,,3,,,,,,,,2,5,No
Afton Alps,,,,,,,,,1,2,,12,,,,,2,2,19,No
Andes Tower Hills,,,,,,,,,1,2,,,,,,,1,2,6,No
Buck Hill,,,,,,,,,2,1,,,,,,,4,2,9,No
Buena Vista,,,,,,,,,,2,,2,,,,,1,,5,No
Chester Bowl,,,,,,,,,,,,1,,,,,,,1,No
Coffee Mill,,,,,,,,,,,,2,,,,,1,,3,No
Detroit Mountain,,,,,,,,,,2,,,,,,,2,2,6,No
Giants Ridge,,,,,,,,1,1,1,,2,,,,,,2,7,No
Hyland Hills,,,,,,,,,3,,,,,,,,3,2,8,No
Lutsen Mountains,,1,,,,2,,,,,,3,,,,,,1,7,No
Mount Kato,,,,,,,,,5,,,3,,,,,,1,9,No
Mount Ski Gull,,,,,,,,,,1,,,,,,,1,1,3,No
Powder Ridge (Minnesota),,,,,,,,,2,,,1,,,1,,3,,7,No
Spirit Mountain,,,,,,,,1,2,,,,,,,,1,2,6,No
Steeplechase,,,,,,,,,,2,,2,,,,,,,4,No
Welch Village,,,,,,,,,7,1,,,,,,,1,2,11,No
Wild Mountain,,,,,,,,,4,,,,,,,,4,1,9,No
Hidden Valley (Missouri),,,,,,,,,2,2,,1,,,,,1,1,7,No
Snow Creek,,,,,,,,,,2,,1,,,,,1,1,5,No
Bear Paw Ski Bowl,,,,,,,,,,,,1,,,,,1,,2,No
Big Sky Resort,1,2,,,2,2,,4,3,9,,4,,,,3,1,8,39,No
Blacktail Mountain,,,,,,,,,,1,,2,,,,,,1,4,No
Bridger Bowl,,,,,,,,,1,6,,1,,,,1,,2,11,No
Discovery Ski Area,,,,,,,,,,5,,2,,,,,,1,8,No
Great Divide,,,,,,,,,,,,5,,,,,1,,6,No
Lost Trail Powder Mountain,,,,,,,,,,,,5,,,,,1,,6,No
Maverick Mountain,,,,,,,,,,,,1,,,,,1,,2,No
Montana Snowbowl,,,,,,,,,,1,,3,,1,,,1,,6,No
Red Lodge Mountain,,,,,,,,2,,1,1,2,,,,,,2,8,No
Showdown,,,,,,,,,,1,,2,,,,,,1,4,No
Teton Pass,,,,,,,,,,,,1,,,,1,,1,3,No
Turner Mountain,,,,,,,,,,,,1,,,,,,,1,No
Whitefish Mountain Resort,,,,,,1,,3,2,6,,,,2,,,,2,16,No
Diamond Peak,,,,,,,,1,2,,,3,,,,,,1,7,No
Elko Snowbowl,,,,,,,,,,,,1,,,,,1,,2,No
Las Vegas Ski and Snowboard Resort – Lee Canyon,,,,,,,,,3,1,,,,,,,,1,5,No
Mount Rose,,,,,,2,,1,2,1,,,,,,,,3,9,No
Abenaki,,,,,,,,,,,,,,,,,2,,2,Yes
Attitash Mountain Resort,,,,,,,,3,2,2,,,,,,,,1,8,No
Black Mountain – Jackson,,,,,,,,,,1,,1,,,1,1,1,,5,No
Bretton Woods,,1,,,,,,4,1,,,,,1,,,,2,9,No
Campton Mountain,,,,,,,,,,,,1,,,,,1,,2,No
Cannon Mountain,1,,,,,,,1,2,3,,1,,1,,,1,,10,No
Cranmore Mountain Resort,,,,,,,,1,1,2,,1,,,,,,2,7,No
Crotched Mountain,0,,,,,,,1,1,1,,1,,,,,,1,5,No
Dartmouth Skiway,,,,,,,,,1,,,1,,,,,,2,4,No
Granite Gorge,,,,,,,,,,,,1,,,,,1,1,3,No
Gunstock,,,,,,,,1,2,2,,,,,,,,3,8,No
King Pine,,,,,,,,,,3,,,,,,,,2,5,No
Loon Mountain,,1,1,,1,,,3,2,,,4,,,,,,2,14,No
McIntyre,,,,,,,,,,,,2,,,,,,2,4,No
Mount Eustis,,,,,,,,,,,,,,,,,1,,1,Yes
Mount Sunapee,,,,,,,,2,1,2,,,,,,,,3,8,No
Pats Peak,,,,,,,,,1,3,,2,,,1,,2,2,11,No
Ragged Mountain,,,,,,1,,1,,1,,,,,,,,,3,No
Red Hill – Moultonborough,,,,,,,,,,,,,,,,,1,,1,Yes
Storrs Hill,,,,,,,,,,,,,,,,1,,,1,Yes
Tenney Mountain,,,,,,,,,,1,,1,,,,1,,2,5,No
Veterans Memorial – Franklin,,,,,,,,,,,,,,1,,,1,,2,Yes
Waterville Valley,,,,,,1,,1,,2,,3,,2,,,,2,11,No
Whaleback,,,,,,,,,,,,1,,1,,,1,1,4,No
Wildcat Mountain,,,,,,,,1,,3,,,,,,,,1,5,No
Campgaw Mountain,,,,,,,,,,,,2,,,,,,3,5,No
Mountain Creek,,,,1,,,,2,2,1,,1,,,,,,2,9,No
Angel Fire,,,,,,,,2,1,,,3,,,,,,2,8,No
Cloudcroft,,,,,,,,,,,,1,,,,,2,,3,No
Pajarito Mountain,,,,,,,,,1,1,,3,,,,,,1,6,No
Red River,,,,,,,,,1,4,,,,,,,2,,7,No
Sipapu,,,,,,,,,1,2,,1,,,,,,2,6,No
Ski Apache,,1,,,,,,,3,5,,,,,,,2,,11,No
Ski Santa Fe,,,,,,,,1,1,2,,1,,,,,,2,7,No
Taos,,,1,,,,,2,2,4,,1,,,,,,3,13,No
Beartown,,,,,,,,,,,,,,1,,1,,,2,Yes
Belleayre Mountain,,1,,,,,,1,3,,,,,,,,,4,9,No
Brantling,,,,,,,,,,,,,,1,,,5,,6,Yes
Bristol Mountain,,,,,,,,2,1,1,,1,,,,,,2,7,No
Buffalo Ski Center,,,,,,,,,,,,2,,2,,,1,1,6,No
Dry Hill,,,,,,,,,,,,1,,1,,,,,2,No
Dynamite Hill,,,,,,,,,,,,,,,,,1,,1,Yes
Four Seasons,,,,,,,,,,,,1,,,,,,1,2,No
Gore Mountain,,1,,,,,,3,6,1,,,,,1,,,2,14,No
Greek Peak,,,,,,,,,1,2,,3,,,,,,2,8,No
Holiday Mountain (New York),,,,,,,,,1,1,,,,,,,,1,3,No
Holiday Valley,,,,,,1,,3,7,,,,,,,,,2,13,No
Holimont,,,,,,,,1,1,2,,2,,,,,,2,8,No
Hunt Hollow Ski Club,,,,,,,,,,1,,1,,1,,,,1,4,No
Hunter Mountain,,,,,,3,,1,2,1,,2,,,,1,,3,13,No
Kissing Bridge,,,,,,,,,2,1,,3,,,,,2,1,9,No
Labrador Mountain,,,,,,,,,,1,,2,,1,,,2,,6,No
Maple Ski Ridge,,,,,,,,,,1,,1,,,,,2,,4,No
McCauley Mountain,,,,,,,,,,1,,,,2,,,2,,5,No
Mount Peter,,,,,,,,,1,,,2,,,,,,3,6,No
Mount Pisgah,,,,,,,,,,,,,,1,,,1,,2,Yes
Oak Mountain,,,,,,,,,1,,,,,1,,,,2,4,No
Peek’N Peak,,,,,,,,,,6,,2,,,,,,3,11,No
