name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,num_lifts
Mt. McSauba,https://www.skiresort.info/ski-resort/mt-mcsauba/,23.0,607,709,102,0,Michigan,4
Hiawatha – Rock River Township,https://www.skiresort.info/ski-resort/hiawatha-rock-river-township/,5.0,850,938,89,0,Michigan,1
John & Melissa Besse Sports Park – Gladstone,https://www.skiresort.info/ski-resort/john-melissa-besse-sports-park-gladstone/,,643,748,105,0,Michigan,4
Sahalie Ski Club,https://www.skiresort.info/ski-resort/sahalie-ski-club/,,2953,3133,180,1,Washington,2
Adventure Mountain – Greenland,https://www.skiresort.info/ski-resort/adventure-mountain-greenland/,,1237,1362,125,0,Michigan,1
Mount Prospect – Lancaster,https://www.skiresort.info/ski-resort/mount-prospect-lancaster/,,1457,1706,249,0,New Hampshire,1
Triangle Sports Area – Green Bay,https://www.skiresort.info/ski-resort/triangle-sports-area-green-bay/,,640,712,72,0,Wisconsin,3
Blackhawk Ski Club – Middleton,https://www.skiresort.info/ski-resort/blackhawk-ski-club-middleton/,,928,1076,148,0,Wisconsin,3
Standing Rocks,https://www.skiresort.info/ski-resort/standing-rocks/,16.0,1099,1220,121,1,Wisconsin,3
Powderhouse Hill – South Berwick,https://www.skiresort.info/ski-resort/powderhouse-hill-south-berwick/,5.0,121,262,141,0,Maine,1
Keyes Peak,https://www.skiresort.info/ski-resort/keyes-peak/,15.0,1312,1476,164,0,Wisconsin,3
Fairfax Peak (planned) (indoor ski area),https://www.skiresort.info/ski-resort/fairfax-peak-planned/,,164,262,98,0,Virginia,2
Cloudmont,https://www.skiresort.info/ski-resort/cloudmont/,,1650,1798,148,0,Alabama,2
Chipmunk,https://www.skiresort.info/ski-resort/chipmunk/,,6450,6752,302,0,Idaho,1
Great Northern Powder Guides,https://www.skiresort.info/ski-resort/great-northern-powder-guides/,,4800,7201,2402,,,
Mt. Bailey,https://www.skiresort.info/ski-resort/mt-bailey/,,5577,8530,2953,,,
Cascade Powder Guides,https://www.skiresort.info/ski-resort/cascade-powder-guides/,,2165,2799,5594,,,
Al Quaal,https://www.skiresort.info/ski-resort/al-quaal/,,1411,1480,69,0,Michigan,2
Lee's Ski Hill – Ouray,https://www.skiresort.info/ski-resort/lees-ski-hill-ouray/,,7887,7959,72,0,Colorado,1
Salmonberry – Valdez,https://www.skiresort.info/ski-resort/salmonberry-valdez/,,121,285,164,0,Alaska,1
Pinehurst Park – Eau Claire,https://www.skiresort.info/ski-resort/pinehurst-park-eau-claire/,,919,1037,118,0,Wisconsin,1
Nutt Hill – Plymouth,https://www.skiresort.info/ski-resort/nutt-hill-plymouth/,,896,1014,118,0,Wisconsin,1
Hard'ack (Aldis Hill) – St. Albans,https://www.skiresort.info/ski-resort/hardack-aldis-hill-st-albans/,,623,755,131,0,Vermont,1
Dynamite Hill – Chestertown,https://www.skiresort.info/ski-resort/dynamite-hill-chestertown/,,830,922,92,0,New York,1
Petoskey Winter Sports Park,https://www.skiresort.info/ski-resort/petoskey-winter-sports-park/,,719,814,95,0,Michigan,1
Bowe's Ski Hill – Steamboat Springs,https://www.skiresort.info/ski-resort/bowes-ski-hill-steamboat-springs/,,6906,7005,98,0,Colorado,1
Inside Ski Training Center – Leesburg (dry slopes),https://www.skiresort.info/ski-resort/inside-ski-training-center-leesburg/,,322,335,13,0,Virginia,0
Cimarron Mountain Club,https://www.skiresort.info/ski-resort/cimarron-mountain-club/,,9810,11368,1558,,,
Eagle Island Park,https://www.skiresort.info/ski-resort/eagle-island-park/,,2526,2562,36,0,Idaho,0
Sand Master Park – Florence (sand ski area),https://www.skiresort.info/ski-resort/sand-master-park-florence/,,66,131,66,0,,
Infinity Slopes – Loveland (dry slopes),https://www.skiresort.info/ski-resort/infinity-slopes-loveland/,,4964,4977,13,0,Colorado,0
Snöbahn – Centennial,https://www.skiresort.info/ski-resort/snoebahn-centennial/,,5594,5610,16,0,Colorado,0
Jerry's Heliski Alaska,https://www.skiresort.info/ski-resort/jerrys-heliski-alaska/,,,,,,,
Powderbird,https://www.skiresort.info/ski-resort/powderbird/,,,,,,,
Yukon Alpine Heliskiing,https://www.skiresort.info/ski-resort/yukon-alpine-heliskiing/,,,,,,,
Whisper Ridge  (temporarily closed),https://www.skiresort.info/ski-resort/whisper-ridge/,,,,,,,
H2O Guides,https://www.skiresort.info/ski-resort/h2o-guides/,,,,,,,
Diamond Peaks,https://www.skiresort.info/ski-resort/diamond-peaks/,,,,,,,
Scotch Valley Resort  (temporarily closed),https://www.skiresort.info/ski-resort/scotch-valley-resort/,,,,,,,
Lynx Creek,https://www.skiresort.info/ski-resort/lynx-creek/,,,,,,,
Riverside Hills,https://www.skiresort.info/ski-resort/riverside-hills/,,,,,,,
Las Vegas Wet (planned) (indoor ski area),https://www.skiresort.info/ski-resort/las-vegas-wet-planned/,,,,,,,
Sunset Ski Area,https://www.skiresort.info/ski-resort/sunset-ski-area/,,,,,,,
Quadna Mountain,https://www.skiresort.info/ski-resort/quadna-mountain/,,,,,,,
Mott Mountain,https://www.skiresort.info/ski-resort/mott-mountain/,,,,,,,
Carson Ski Resort,https://www.skiresort.info/ski-resort/carson-ski-resort/,,,,,,,
North Bicentennial Park  (temporarily closed),https://www.skiresort.info/ski-resort/north-bicentennial-park/,,,,,,,
Huntington,https://www.skiresort.info/ski-resort/huntington/,,,,,,,
Bearfire Resort – Dallas-Fort Worth (planned) (indoor ski area),https://www.skiresort.info/ski-resort/bearfire-resort-dallas-fort-worth-planned/,,,,,,,
