name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,num_lifts
The Highlands at Harbor Springs,https://www.skiresort.info/ski-resort/the-highlands-at-harbor-springs/,112.0,787,1339,551,16,Michigan,8
Saddleback,https://www.skiresort.info/ski-resort/saddleback/,139.0,2119,4003,1883,14,Maine,5
Snow Summit – Big Bear Lake,https://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,169.0,6988,8202,1214,18,California,11
Willamette Pass – Crescent,https://www.skiresort.info/ski-resort/willamette-pass-crescent/,66.0,5118,6680,1562,18,Oregon,5
Sandia Peak,https://www.skiresort.info/ski-resort/sandia-peak/,,6558,8629,10302,19,New Mexico,4
Timberline Mountain,https://www.skiresort.info/ski-resort/timberline-mountain/,95.0,3268,4268,1001,11,Virginia,2
Montana Snowbowl,https://www.skiresort.info/ski-resort/montana-snowbowl/,79.0,4997,7598,2602,19,Montana,6
Mountain Creek – Vernon,https://www.skiresort.info/ski-resort/mountain-creek-vernon/,99.99,440,1480,1040,15,New Jersey,7
Haystack Mountain – The Hermitage Club,https://www.skiresort.info/ski-resort/haystack-mountain-the-hermitage-club/,,1804,3199,1394,12,Vermont,5
The Summit at Snoqualmie,https://www.skiresort.info/ski-resort/the-summit-at-snoqualmie/,140.0,2625,3871,1247,17,Washington,22
Mt. Spokane,https://www.skiresort.info/ski-resort/mt-spokane/,80.0,3888,5889,2001,16,Washington,7
Monarch,https://www.skiresort.info/ski-resort/monarch/,139.0,10794,11909,1115,23,Colorado,6
Bristol Mountain,https://www.skiresort.info/ski-resort/bristol-mountain/,90.0,997,2198,1201,12,New York,5
Silverton Mountain,https://www.skiresort.info/ski-resort/silverton-mountain/,269.0,10325,12434,2110,,Colorado,1
Pleasant Mountain,https://www.skiresort.info/ski-resort/pleasant-mountain/,95.0,525,1804,1280,14,Maine,6
Pats Peak,https://www.skiresort.info/ski-resort/pats-peak/,99.0,591,1398,807,21,New Hampshire,9
Wachusett Mountain,https://www.skiresort.info/ski-resort/wachusett-mountain/,107.0,1004,2005,1001,7,Massachusetts,4
Titus Mountain,https://www.skiresort.info/ski-resort/titus-mountain/,79.0,1060,2024,965,17,New York,9
Sugar Mountain,https://www.skiresort.info/ski-resort/sugar-mountain/,94.0,4098,5213,1115,9,North Carolina,7
Granby Ranch,https://www.skiresort.info/ski-resort/granby-ranch/,164.0,8199,9199,1001,12,Colorado,5
Magic Mountain,https://www.skiresort.info/ski-resort/magic-mountain/,89.0,1148,2848,1699,14,Vermont,5
Mt. Shasta Ski Park,https://www.skiresort.info/ski-resort/mt-shasta-ski-park/,99.0,5479,7497,2018,14,California,6
Pajarito Mountain,https://www.skiresort.info/ski-resort/pajarito-mountain/,65.0,8999,10440,1440,16,New Mexico,6
Diamond Peak,https://www.skiresort.info/ski-resort/diamond-peak/,180.0,6699,8537,1837,10,,7
Maverick Mountain,https://www.skiresort.info/ski-resort/maverick-mountain/,49.0,6496,8517,2021,12,Montana,1
Boreal,https://www.skiresort.info/ski-resort/boreal/,,7201,7733,531,12,,6
Cooper,https://www.skiresort.info/ski-resort/cooper/,110.0,10499,11699,1201,16,Colorado,4
