name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only
Breckenridge,https://www.skiresort.info/ski-resort/breckenridge/,299.0,9600.0,12841.0,3241.0,95.0,Colorado,2908.0,353.0,Vail Resorts,0,1,0,0,0,5,0,8,1,1,0,4,0,1,0,3,0,11,35,No
Bretton Woods,https://www.skiresort.info/ski-resort/bretton-woods/,129.0,1601.0,3100.0,1499.0,35.0,New Hampshire,464.0,200.0,Independent,0,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,2,9,No
Brian Head,https://www.skiresort.info/ski-resort/brian-head/,97.0,9600.0,10919.0,1319.0,28.0,Utah,650.0,360.0,Mountain Capital Partners,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,2,10,No
Bridger Bowl,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,97.0,6102.0,8799.0,2697.0,44.0,Montana,2000.0,300.0,Independent,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,1,0,2,11,No
Brighton,https://www.skiresort.info/ski-resort/brighton/,159.0,8750.0,10627.0,1877.0,41.0,Utah,1050.0,500.0,Boyne Resorts,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,2,8,No
Bristol Mountain,https://www.skiresort.info/ski-resort/bristol-mountain/,90.0,997.0,2198.0,1201.0,12.0,New York,138.0,130.0,Independent,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,2,7,No
Bromley Mountain,https://www.skiresort.info/ski-resort/bromley-mountain/,96.0,1949.0,3284.0,1335.0,28.0,Vermont,178.0,145.0,Independent,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,2,9,No
Bruce Mound,https://www.skiresort.info/ski-resort/bruce-mound/,27.0,984.0,1312.0,328.0,3.0,Wisconsin,40.0,45.0,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,6,No
Brundage Mountain,https://www.skiresort.info/ski-resort/brundage-mountain/,125.0,5840.0,7638.0,1798.0,19.0,Idaho,1920.0,320.0,Independent,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,6,No
Bryce Resort,https://www.skiresort.info/ski-resort/bryce-resort/,80.0,1247.0,1749.0,502.0,3.0,Virginia,50.0,30.0,Independent,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,5,No
Buck Hill,https://www.skiresort.info/ski-resort/buck-hill-ski-area/,59.0,951.0,1217.0,266.0,1.0,Minnesota,45.0,60.0,Independent,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,2,9,No
Buena Vista,https://www.skiresort.info/ski-resort/buena-vista/,52.0,1312.0,1542.0,230.0,2.0,Minnesota,30.0,78.0,Independent,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,5,No
Buffalo Ski Center,https://www.skiresort.info/ski-resort/buffalo/,57.0,1007.0,1483.0,476.0,7.0,New York,300.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,6,No
Burke Mountain,https://www.skiresort.info/ski-resort/burke-mountain/,89.0,1217.0,3199.0,1982.0,6.0,Vermont,178.0,217.0,Independent,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,5,No
Buttermilk Mountain,https://www.skiresort.info/ski-resort/buttermilk-mountain/,264.0,7871.0,9902.0,2031.0,21.0,Colorado,435.0,200.0,Aspen Skiing Company,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,6,No
Butternut,https://www.skiresort.info/ski-resort/butternut/,85.0,820.0,1772.0,951.0,14.0,Massachusetts,110.0,110.0,Independent,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,9,No
Caberfae Peaks,https://www.skiresort.info/ski-resort/caberfae-peaks/,79.0,1171.0,1532.0,361.0,7.0,Michigan,200.0,140.0,Independent,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,5,No
Camden Snow Bowl,https://www.skiresort.info/ski-resort/camden-snow-bowl/,52.0,236.0,1083.0,846.0,4.0,Maine,100.0,50.0,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,No
Camelback,https://www.skiresort.info/ski-resort/camelback/,99.0,1247.0,2044.0,797.0,21.0,Pennsylvania,160.0,50.0,Independent,0,0,0,0,0,1,0,1,1,3,0,3,0,0,0,0,0,4,13,No
Camp 10,https://www.skiresort.info/ski-resort/camp-10/,52.0,1509.0,1739.0,230.0,2.0,Wisconsin,120.0,60.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,4,No
Campgaw Mountain,https://www.skiresort.info/ski-resort/campgaw-mountain/,65.0,469.0,712.0,243.0,1.0,New Jersey,23.0,45.0,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,5,No
Campton Mountain,https://www.skiresort.info/ski-resort/campton-mountain/,40.0,1188.0,1427.0,240.0,1.0,New Hampshire,,,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No
Canaan Valley,https://www.skiresort.info/ski-resort/canaan-valley/,90.0,3428.0,4278.0,850.0,6.0,West Virginia,95.0,160.0,Independent,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,6,No
Cannon Mountain,https://www.skiresort.info/ski-resort/cannon-mountain/,134.0,1965.0,4078.0,2113.0,31.0,New Hampshire,285.0,160.0,Independent,1,0,0,0,0,0,0,1,2,3,0,1,0,1,0,0,1,0,10,No
Cannonsburg,https://www.skiresort.info/ski-resort/cannonsburg/,55.0,689.0,919.0,230.0,1.0,Michigan,100.0,100.0,Independent,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,1,8,No
Cascade Mountain,https://www.skiresort.info/ski-resort/cascade-mountain/,99.0,820.0,1240.0,420.0,9.0,Wisconsin,176.0,80.0,Independent,0,0,0,0,0,0,0,2,3,1,0,2,0,0,0,0,1,1,10,No
Cataloochee,https://www.skiresort.info/ski-resort/cataloochee/,86.0,4462.0,5194.0,732.0,4.0,North Carolina,50.0,24.0,Independent,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,5,No
Catamount,https://www.skiresort.info/ski-resort/catamount/,105.0,902.0,1903.0,1001.0,9.0,New York,133.0,108.0,The Schaefer Family,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,3,8,No
Chapman Hill,https://www.skiresort.info/ski-resort/chapman-hill-durango/,16.0,6568.0,6877.0,308.0,0.4,Colorado,7.0,71.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,Yes
Cherry Peak,https://www.skiresort.info/ski-resort/cherry-peak/,55.0,7382.0,8645.0,1263.0,12.0,Utah,400.0,320.0,Independent,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,No
Chester Bowl,https://www.skiresort.info/ski-resort/chester-bowl/,15.0,1083.0,1247.0,164.0,1.0,Minnesota,6.0,100.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,No
Chestnut Mountain,https://www.skiresort.info/ski-resort/chestnut-mountain/,70.0,623.0,1099.0,476.0,4.0,Illinois,220.0,34.0,Independent,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,2,9,No
China Peak,https://www.skiresort.info/ski-resort/china-peak/,169.0,7044.0,8629.0,1585.0,31.0,California,1200.0,300.0,California Mountain Resort Company,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,4,11,No
Chipmunk Hills,https://www.skiresort.info/ski-resort/chipmunk/,5.0,6450.0,6752.0,302.0,0.3,Idaho,30.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
